Name,Email,Experience,Country,Industry,LinkedIn Input,Job Description,Likes and Interests,Impact Made,Stage Relevance,Skill Set,Tags
Zakariya Noor,zakariya.noor@credloop.me,8 years,UAE,Microcredit Platforms for Refugees,Professional in FinAccess | Passionate about innovation | Open for collaboration,Lending tools for unbanked and displaced communities.,"finance, humanitarian, policy",Funded 3K+ small refugee-led businesses.,Growth,"FinTech, Mobile UX, Risk Modeling","refugee finance, innovation, uae"
Linda Rasmussen,linda.rasmussen@edbase.dk,6 years,Denmark,EdTech for Special Needs Students,Professional in Inclusive Learning | Passionate about innovation | Open for collaboration,Personalized learning systems for neurodivergent learners.,"psychology, education, design",75% increase in learning retention.,Scaling,"Accessibility, EdUX, Adaptivity","special needs edtech, innovation, denmark"
Andile Mokoena,andile.m@cleancities.co.za,7 years,South Africa,Urban Waste Collection Optimization,Professional in Smart Cities | Passionate about innovation | Open for collaboration,Mapping and digitizing waste truck routes in metros.,"urban planning, civic tech",Reduced fuel use by 19%.,Growth,"Mapping, Logistics, Mobile UX","urban clean tech, innovation, south africa"
Erdem Kaya,erdem.kaya@agoraedu.tr,8 years,Turkey,Open Education Platforms,Professional in Learning Access | Passionate about innovation | Open for collaboration,Building asynchronous learning spaces for adult learners.,"open learning, forums, tech",1M+ lecture views in 6 months.,Scaling,"EdTech, Video, Asynchronous UX","open edu, innovation, turkey"
Naledi Mpofu,naledi.mpofu@healthtrack.co.bw,5 years,Botswana,Health Wearables for Rural Clinics,Professional in MedDevices | Passionate about innovation | Open for collaboration,Distributing wearable vitals monitors to local nurses.,"health, wearables, solar tech",Detected 200+ early illnesses.,MVP,"Hardware, UX, Data Sync, Training","rural wearables, innovation, botswana"
Jacob White,jacob.w@civilsim.uk,9 years,UK,Simulations for Civic Planning,Professional in Urban Modeling | Passionate about innovation | Open for collaboration,Creating predictive city layout simulations for councils.,"urbanism, planning, tech",Prevented $1M in design rework.,Scaling,"SimTech, Urban Planning, Data Models","civic simulation, innovation, uk"
Kaori Nishida,kaori.nishida@eldercare.jp,10 years,Japan,Home Care Optimization Tools,Professional in CareTech | Passionate about innovation | Open for collaboration,Automating care schedules and medication reminders for aging populations.,"aging, empathy, routines",Cut missed appointments by 50%.,Scaling,"Elder UX, Automation, Voice Interfaces","homecare tools, innovation, japan"
Juan Pablo Torres,juanp.torres@rurallaw.cl,7 years,Chile,Legal Aid for Rural Communities,Professional in Legal Access | Passionate about innovation | Open for collaboration,Offering free mobile-based legal consultation for farmers.,"legal aid, rural rights, tech","Helped 1,500+ clients in 2023.",Growth,"Mobile Law, Legal NLP, Consultation Systems","rural justice, innovation, chile"
Ayesha Malik,ayesha.malik@edicover.pk,6 years,Pakistan,Coverage Finder for Student Loans,Professional in EdFinance | Passionate about innovation | Open for collaboration,Helping students find and manage education loans online.,"scholarships, education, UI",10K+ loans matched in beta.,MVP,"FinTech, Lending UX, Search UX","edu loan tools, innovation, pakistan"
Niko Järvinen,niko.jarvinen@telemed.fi,8 years,Finland,Emergency Telemedicine Platforms,Professional in MedTele | Passionate about innovation | Open for collaboration,"Providing secure, fast response telemedicine for rural ambulances.","emergency tech, medicine, systems",Saved 300+ lives during 2022 pilot.,Scaling,"HealthTech, Real-time Comms, Security","emergency telemed, innovation, finland"
Zuri Mensah,zuri.mensah@funduplift.org,7 years,Ghana,NGO Crowdfunding Platforms,Professional in Impact Finance | Passionate about innovation | Open for collaboration,Connecting social startups and NGOs to local and global funders.,"social impact, finance, campaigns",Funded 500+ orgs with $5M+ distributed.,Scaling,"Crowdfunding, Finance, UX, NGO Ops","ngo funding, innovation, ghana"
Ava Richardson,ava.richardson@mindcalm.ai,6 years,USA,AI for PTSD Therapy Support,Professional in Mental Health AI | Passionate about innovation | Open for collaboration,Using chat-based AI companions for veterans and PTSD patients.,"veterans, psychology, tech",Supported 100K+ sessions in Year 1.,Scaling,"NLP, Mental Health UX, Ethics","ptsd ai support, innovation, usa"
Rahul Kulkarni,rahul.kulkarni@labchain.in,9 years,India,Blockchain-Verified Lab Results,Professional in MedValidation | Passionate about innovation | Open for collaboration,Ensuring trusted diagnostics with tamper-proof lab reports.,"healthcare, trust, labs",Adopted by 300+ clinics.,Growth,"Blockchain, Labs, UX, Verifiable Credentials","labchain results, innovation, india"
Sofia Petrova,sofia.petrova@edtalks.bg,5 years,Bulgaria,Parent-Teacher Communication Tools,Professional in EduOps | Passionate about innovation | Open for collaboration,Streamlining communication between schools and homes.,"school life, education, parenting",Increased school participation by 40%.,MVP,"Messaging UX, Notification Systems, UX","school comms, innovation, bulgaria"
Omar Bin Khalid,omar.khalid@halalscan.pk,8 years,Pakistan,Halal Certification Verification,Professional in FoodTech | Passionate about innovation | Open for collaboration,QR-based food scanning for halal status and compliance.,"food safety, culture, scanning",Scanned 500K+ SKUs with 90% accuracy.,Scaling,"QR, Food Labeling, Supply Chain","halal verification, innovation, pakistan"
Ella Thompson,ella.thompson@forestflow.uk,6 years,UK,Tree Planting and Impact Tracking,Professional in Climate Impact | Passionate about innovation | Open for collaboration,Tracking reforestation using satellite and user-input.,"trees, climate, mapping",Verified 1M+ trees with geotags.,Growth,"Remote Sensing, GIS, Impact Metrics","reforestation tracking, innovation, uk"
Luís Carvalho,l.carvalho@tournow.pt,5 years,Portugal,Micro-Tourism Booking Tools,Professional in Local Tourism | Passionate about innovation | Open for collaboration,Helping local guides and communities monetize cultural walks.,"travel, storytelling, maps",Increased income of 300+ guides.,MVP,"Booking UX, Maps, Local Payments","tourism micro, innovation, portugal"
Sarah Mitchell,sarah.mitchell@homelink.us,9 years,USA,Mortgage Pre-Approval Tools,Professional in Real Estate Finance | Passionate about innovation | Open for collaboration,Building instant mortgage eligibility platforms for first-time buyers.,"home buying, finance, DIY",Cut loan approval wait time by 60%.,Growth,"Lending APIs, UX, Credit Scoring","mortgage preapproval, innovation, usa"
Priya Mehta,priya.mehta@rentally.in,7 years,India,Tenant-Landlord Relationship Platforms,Professional in RentalTech | Passionate about innovation | Open for collaboration,Creating dispute resolution and document mgmt tools for renters.,"renting, housing, policy",15K+ issues resolved across metro cities.,Scaling,"Legal Tech, Rental Law, Platform UX","rental disputes, innovation, india"
Oliver Johansson,oliver.j@propfinder.se,6 years,Sweden,AI-Powered Property Discovery,Professional in PropSearch | Passionate about innovation | Open for collaboration,Building tools that suggest properties based on lifestyle preferences.,"hiking, smart cities, AI",Increased listing click-through rate by 2.5x.,Growth,"Recommendation Engines, Maps, PropTech UX","ai property search, innovation, sweden"
Bianca Costa,bianca.costa@casafit.br,8 years,Brazil,Affordable Homeownership Planning,Professional in Housing Finance | Passionate about innovation | Open for collaboration,Guiding families through financial planning for first home purchases.,"budgeting, equity, housing",Helped 3K+ families get mortgage-ready.,MVP,"Credit Planning, Housing Finance, UX","affordable home planning, innovation, brazil"
Marcus Lee,marcus.lee@apartmentiq.hk,10 years,Hong Kong,Smart Apartment Management,Professional in Smart Rentals | Passionate about innovation | Open for collaboration,IoT-based dashboards for tenants and building managers.,"tech homes, automation, rentals",80+ buildings onboarded across HK.,Scaling,"IoT, SaaS, Tenant UX, Property Dashboards","smart apartments, innovation, hong kong"
Natalia Petrova,natalia.p@rentcheck.bg,6 years,Bulgaria,Digital Rental History Verification,Professional in TenantTech | Passionate about innovation | Open for collaboration,Providing verified rental history for better screening & trust.,"landlord tools, digital trust",Used by 200+ property firms in pilot.,Growth,"Identity, Records, B2B SaaS, UX","rental verification, innovation, bulgaria"
James Mwangi,james.mwangi@plotmatch.ke,7 years,Kenya,Rural Land Ownership Verification,Professional in LandTech | Passionate about innovation | Open for collaboration,Helping verify and digitize rural land deeds using mobile-first tools.,"land rights, maps, access",10K+ plots registered securely.,Scaling,"CivicTech, Blockchain, Land Mapping","land verification, innovation, kenya"
Elena Papadopoulos,elena.p@homeenergy.gr,8 years,Greece,Home Energy Audit & Retrofitting Tools,Professional in Green Real Estate | Passionate about innovation | Open for collaboration,Helping homeowners identify efficiency upgrades and rebates.,"retrofits, sustainability, energy",Saved avg. €300 per home/year.,MVP,"Energy Audits, UX, Housing Tech","green home upgrades, innovation, greece"
Ahmed Zaki,ahmed.zaki@qahousing.qa,9 years,Qatar,Real Estate Investment Platforms,Professional in RE Finance | Passionate about innovation | Open for collaboration,Enabling retail investors to fractionalize and invest in real estate.,"investing, savings, fintech",Raised $10M+ in retail investments.,Scaling,"FinTech, RE Portfolio, Mobile, Regulation","real estate investing, innovation, qatar"
Fiona MacLeod,fiona.macleod@buildscan.uk,10 years,UK,Home Construction Progress Monitoring,Professional in BuildTech | Passionate about innovation | Open for collaboration,Tracking construction timelines and milestones in real time.,"building, transparency, reports",Reduced fraud & overruns in 300+ builds.,Scaling,"Timeline UX, API Integration, Builder SaaS","construction monitoring, innovation, uk"
Rajeev Nair,rajeev.nair@homedeals.in,8 years,India,Real Estate Lead Qualification,Professional in Property Sales | Passionate about innovation | Open for collaboration,Automating lead scoring for high-intent home seekers.,"sales, leads, housing",Increased conversion rates by 35%.,Growth,"CRM, Lead Scoring, Housing CRM UX","real estate leads, innovation, india"
Chloe Martin,chloe.martin@rentalmatch.fr,6 years,France,AI-Powered Rental Matchmaking,Professional in RentTech | Passionate about innovation | Open for collaboration,"Matching renters and properties based on lifestyle, not just price.","interior, experience, lifestyle",50K+ happy matches in 18 months.,Scaling,"ML Matching, Design UX, Rental Platforms","rental matchmaking, innovation, france"
Peter Okoro,peter.okoro@cohome.ng,5 years,Nigeria,Co-Living Platform Development,Professional in Housing Access | Passionate about innovation | Open for collaboration,Shared living and flexible lease models for urban youth.,"roommates, urban housing, mobility",3K+ tenants placed in 2 years.,Growth,"Lease Models, Housing UX, Local Partnerships","coliving tech, innovation, nigeria"
Laura Romero,laura.romero@titleclear.mx,9 years,Mexico,Land Title Verification,Professional in Legal PropTech | Passionate about innovation | Open for collaboration,Ensuring property titles are secure and fraud-proof.,"law, housing, civic tools",Reduced fraud cases by 70%.,Scaling,"Blockchain, Gov Data, Legal Tech","land title clearance, innovation, mexico"
Hye-Jin Kim,hyejin.kim@keydrop.kr,6 years,South Korea,Smart Home Entry & Security,Professional in Smart Locks | Passionate about innovation | Open for collaboration,"Secure, app-based entry systems for apartment buildings.","UX, access control, urban homes",Deployed in 120+ buildings.,Scaling,"IoT, Security, Mobile UX, Hardware","smart locks, innovation, korea"
Thomas Berger,thomas.berger@rentviews.de,7 years,Germany,Rental Feedback Analytics,Professional in PropFeedback | Passionate about innovation | Open for collaboration,Helping landlords and RE firms monitor tenant satisfaction.,"feedback, analytics, UX",4.5/5 avg. rating from 100K+ tenants.,Growth,"Surveys, Data Analytics, UI","tenant feedback, innovation, germany"
Mehreen Yusuf,mehreen.yusuf@rentmate.pk,5 years,Pakistan,Rental Payment Tracker,Professional in Rent Payment | Passionate about innovation | Open for collaboration,Automating reminders and receipts for monthly rent.,"finance, records, simplicity",Reduced delinquencies by 40%.,MVP,"FinOps, SMS, Rent Payment UX","rental tracker, innovation, pakistan"
Carlos Oliveira,carlos.oliveira@bldsafe.pt,8 years,Portugal,Construction Safety Compliance,Professional in BuildSafe | Passionate about innovation | Open for collaboration,Tools to audit site safety and worker well-being.,"worker rights, safety, housing",Improved compliance rate by 95%.,Scaling,"Safety Tech, Compliance, Field Tools","site safety, innovation, portugal"
Juliette Dubois,juliette.dubois@homeplan.fr,6 years,France,Home Renovation Budgeting Apps,Professional in HomeUpgrades | Passionate about innovation | Open for collaboration,Enabling homeowners to plan upgrades based on cost + value.,"interiors, calculators, planners",Helped budget €10M+ in renos.,Growth,"Estimators, UX, Mobile, Budgeting","renovation budgeting, innovation, france"
Kenji Watanabe,kenji.watanabe@propvisual.jp,10 years,Japan,Real Estate Visualization & AR,Professional in Prop AR | Passionate about innovation | Open for collaboration,3D & AR-based walkthroughs to boost RE sales.,"design, 3D, buyer tools",Increased conversion on listings by 3x.,Scaling,"AR/VR, 3D Tools, Real Estate UX","real estate visualization, innovation, japan"
Amina Bakari,amina.bakari@agrosync.co.ke,8 years,Kenya,Smart Agriculture Supply Chain,Professional in AgriLogistics | Passionate about innovation | Open for collaboration,Digitizing harvest-to-market logistics for farmers.,"logistics, agri, impact",Reduced spoilage by 40%.,Scaling,"Supply Chain, Mobile Apps, Agro UX","agri supply chain, innovation, kenya"
Luca Moretti,luca.moretti@autonavi.it,10 years,Italy,Automotive Navigation Systems,Professional in AutoTech | Passionate about innovation | Open for collaboration,Developing intuitive in-car navigation software.,"travel, cars, UX",5M+ vehicles onboarded.,Scaling,"Mapping, HMI UX, Navigation Systems","automotive nav, innovation, italy"
Anjali Rao,anjali.rao@telelink.in,9 years,India,Telecom Infrastructure Monitoring,Professional in NetworkOps | Passionate about innovation | Open for collaboration,Monitoring telecom tower health and power use remotely.,"connectivity, systems, uptime",Cut outages by 65%.,Growth,"IoT, Remote Monitoring, Telecom UX","telecom monitoring, innovation, india"
Greg Thompson,greg.thompson@claimwise.us,12 years,USA,Insurance Claims Automation,Professional in InsurTech | Passionate about innovation | Open for collaboration,Automating damage assessment and claims through photo AI.,"cars, finance, ML",Processed 2M+ claims in 2023.,Scaling,"Computer Vision, Insurance APIs, ML","insurance ai, innovation, usa"
Ji-Hoon Park,jihoon.park@aerosim.kr,10 years,South Korea,Flight Simulation Systems,Professional in AeroTech | Passionate about innovation | Open for collaboration,Developing pilot training simulations with immersive feedback.,"aviation, UX, simulators",Used by 5 top aviation schools.,Growth,"Simulation, UX Design, Aerospace Systems","flight simulation, innovation, korea"
Maria Gutierrez,maria.gutierrez@shipfast.mx,7 years,Mexico,Last-Mile Delivery Route Optimization,Professional in LogiTech | Passionate about innovation | Open for collaboration,Real-time route planning to reduce fuel costs for e-commerce.,"routing, green logistics",Cut avg. delivery time by 25%.,Scaling,"Routing Algorithms, Geo APIs, Delivery UX","delivery optimization, innovation, mexico"
Daniel Carter,daniel.c@manusys.uk,9 years,UK,Manufacturing Workflow Automation,Professional in FactoryTech | Passionate about innovation | Open for collaboration,Replacing manual shopfloor tracking with digital systems.,"industry, robotics, IoT",Improved throughput by 30%.,Growth,"ERP, IoT Integration, Production UX","manufacturing automation, innovation, uk"
Ayşe Demir,ayse.demir@fashiontag.tr,8 years,Turkey,Fashion Trend Prediction AI,Professional in FashionTech | Passionate about innovation | Open for collaboration,Predicting retail trends using consumer data & vision tech.,"style, AI, market data",Enabled 30% faster time-to-market.,Scaling,"Trend Analysis, ML, Retail UX","fashion ai, innovation, turkey"
Noah Evans,noah.evans@wareflow.au,10 years,Australia,Warehouse Automation Robotics,Professional in Industrial Robotics | Passionate about innovation | Open for collaboration,Deploying smart robots to optimize stock picking and packing.,"automation, logistics, AI",Reduced human error by 80%.,Scaling,"Robotics, Computer Vision, Fulfillment","warehouse robots, innovation, australia"
Camille Bernard,camille.b@pressly.fr,7 years,France,Publishing Workflow SaaS,Professional in PubOps | Passionate about innovation | Open for collaboration,Digital tools to manage editorial cycles for media companies.,"writing, media tech, content",Used by 25+ newsrooms.,Growth,"CMS, Publishing UX, Media Ops","editorial saas, innovation, france"
Fatima Abdullah,fatima.abdullah@pharmalink.sa,8 years,Saudi Arabia,Pharmaceutical Supply Chain Tracking,Professional in PharmaLogistics | Passionate about innovation | Open for collaboration,Blockchain-based tracking for cold-chain medicine delivery.,"health, logistics, safety",Ensured 98% cold-chain integrity.,Scaling,"Supply Chain, Blockchain, Pharma IoT","pharma tracking, innovation, saudi arabia"
Elias Zimmermann,elias.z@machinetap.de,9 years,Germany,Precision Machine Monitoring,Professional in Smart Manufacturing | Passionate about innovation | Open for collaboration,Sensor-based predictive maintenance in factories.,"CNC, IoT, efficiency",Reduced downtime by 45%.,Growth,"Predictive Analytics, Sensors, Manufacturing","machine monitoring, innovation, germany"
Zahra Hosseini,zahra.h@buildplan.ir,10 years,Iran,Urban Development Project Planning,Professional in Urban Planning | Passionate about innovation | Open for collaboration,Coordinating municipal housing and zoning projects digitally.,"design, infrastructure, data",Delivered 50+ plans across 10 cities.,Growth,"GIS, City Planning, Government Tech","urban planning, innovation, iran"
Jason Smith,j.smith@utilitycheck.us,11 years,USA,Utility Infrastructure Health Checks,Professional in InfraTech | Passionate about innovation | Open for collaboration,Real-time alerts for pipeline and grid infrastructure failure.,"maintenance, alerting, systems",Prevented 150+ outages.,Scaling,"IoT Sensors, Energy Infra, API Dev","utility monitoring, innovation, usa"
Helena Fischer,helena.f@packgenics.de,8 years,Germany,Sustainable Packaging Material R&D,Professional in Packaging Innovation | Passionate about sustainability | Open for collaboration,Developing biodegradable materials for large-scale packaging.,"eco materials, research, recycling",Replaced 1M+ plastic units.,Growth,"Material Science, Supply Chain, Testing","packaging rnd, innovation, germany"
Haruto Tanaka,haruto.t@aerogrid.jp,9 years,Japan,Drone-based Grid Inspection,Professional in AeroSurveillance | Passionate about innovation | Open for collaboration,"Drones inspecting power lines, reducing field labor needs.","drones, aerial data, safety",Cut inspection costs by 60%.,Scaling,"Drone Ops, Computer Vision, Utilities","drone inspection, innovation, japan"
Ayo Balogun,ayo.balogun@freightroute.ng,7 years,Nigeria,Freight Routing & Fleet Management,Professional in TransportOps | Passionate about innovation | Open for collaboration,Tracking and optimizing long-haul trucking in West Africa.,"mapping, vehicles, road planning","Onboarded 5,000+ trucks in 18 months.",Scaling,"GPS, Mobile Fleet UX, B2B SaaS","freight fleet, innovation, nigeria"
Marta Oliveira,marta.oliveira@medinex.pt,8 years,Portugal,Hospital Equipment Logistics,Professional in Health Supply Chain | Passionate about innovation | Open for collaboration,Ensuring optimal availability of surgical equipment via smart tracking.,"health systems, sensors, planning",Cut equipment misplacement by 70%.,Growth,"Inventory, RFID, UX","hospital logistics, innovation, portugal"
Declan O'Brien,declan.o@farmsim.ie,9 years,Ireland,Virtual Reality for Farm Training,Professional in AgriEducation | Passionate about innovation | Open for collaboration,VR-based farming and safety training modules.,"rural learning, VR, agriculture",Used by 100+ agri institutes.,Growth,"VR Dev, Farming Safety, UX","farm vr training, innovation, ireland"
Mei Lin,mei.lin@textiletrack.cn,10 years,China,Textile Supply Chain Transparency,Professional in Garment Ops | Passionate about innovation | Open for collaboration,Building digital supply maps for global apparel manufacturing.,"supply chain, compliance, fabric","Mapped 1,200+ partner factories.",Scaling,"B2B Tools, Mapping, Apparel Ops","textile tracking, innovation, china"
Rebecca Shaw,rebecca.shaw@edunova.uk,11 years,UK,K-12 Curriculum Digitization,Professional in EduTech | Passionate about innovation | Open for collaboration,Leading efforts to bring UK school curriculums online.,"learning systems, teacher tools",Used by 500+ public schools.,Scaling,"LMS, K-12 Content, UX Design","k12 digital, innovation, uk"
Omar Said,omar.said@pipetracker.sa,12 years,Saudi Arabia,Oil & Gas Pipeline Monitoring,Professional in Energy Infra | Passionate about innovation | Open for collaboration,Real-time oil pipeline tracking using IoT and drones.,"oil, sensors, security",Cut leak risk by 80%.,Growth,"Sensor Networks, Remote Infra, Safety","oil pipeline, innovation, saudi arabia"
Lucia Conti,lucia.conti@medidata.it,10 years,Italy,Hospital Data Management SaaS,Professional in HealthTech | Passionate about innovation | Open for collaboration,Centralizing patient and operational data in public hospitals.,"healthcare ops, records",Increased efficiency by 30%.,Scaling,"EHR, SaaS, UX","health data mgmt, innovation, italy"
Nikhil Sharma,nikhil.sharma@smartgrid.in,9 years,India,Smart Grid Energy Optimization,Professional in EnergyTech | Passionate about innovation | Open for collaboration,Managing demand/load via AI-driven energy dashboards.,"climate, analytics, power",Reduced outages in 3 states.,Scaling,"Energy Forecasting, AI, Utility APIs","smartgrid optimization, innovation, india"
Maria Sanchez,maria.sanchez@buildsafe.mx,8 years,Mexico,Construction Site Safety Monitoring,Professional in BuildTech | Passionate about innovation | Open for collaboration,Real-time safety alerts for large infrastructure sites.,"safety, workers, automation",Improved compliance by 70%.,Growth,"Sensors, Alerts, Compliance","construction safety, innovation, mexico"
James O'Neill,james.oneill@deftech.ie,10 years,Ireland,Defense Simulation & Training Systems,Professional in DefenseTech | Passionate about innovation | Open for collaboration,Immersive military simulations for tactical training.,"military, VR, defense tactics",Adopted by 2 defense units.,Growth,"Simulation, Real-time Data, Security","defense simulation, innovation, ireland"
Aisha Al-Kuwari,aisha.alkuwari@luxstay.qa,9 years,Qatar,Luxury Property Rental Platforms,Professional in Real Estate | Passionate about innovation | Open for collaboration,Building exclusive digital platforms for high-end stays.,"travel, real estate, luxe",20K+ luxury rentals managed.,Scaling,"Booking Systems, UX, CRM","luxury rental, innovation, qatar"
Harish Rao,harish.rao@finlyze.in,11 years,India,SME Credit Risk Analytics,Professional in FinTech | Passionate about innovation | Open for collaboration,Helping banks assess SME creditworthiness using ML.,"finance, credit scoring, lending",Enabled $500M in disbursals.,Scaling,"Credit Modeling, ML, Risk Assessment","sme lending analytics, innovation, india"
Chloe Dubois,chloe.dubois@greentrack.fr,10 years,France,ESG Compliance Automation,Professional in Sustainable Finance | Passionate about innovation | Open for collaboration,Automating ESG reporting and regulatory compliance for large enterprises.,"sustainability, data, corporate impact",Used by 100+ listed companies.,Growth,"ESG, Data Dashboards, Compliance Tools","esg reporting, innovation, france"
Tariq Hamid,tariq.hamid@infraflow.pk,9 years,Pakistan,Road & Bridge Project Management Tools,Professional in InfraTech | Passionate about innovation | Open for collaboration,Digital dashboard for public infrastructure project timelines.,"civil works, infra data, tracking",Deployed in 3 provinces.,Scaling,"Gantt Charts, Infra UX, API Integration","infra project mgmt, innovation, pakistan"
Elena Varga,elena.varga@broadcastos.hu,10 years,Hungary,Broadcast Operations & Scheduling Tools,Professional in MediaTech | Passionate about innovation | Open for collaboration,Building automation tools for live TV and streaming workflows.,"tv, content ops, automation",Used in 12 national broadcasters.,Scaling,"Scheduler UX, Media APIs, Automation","media scheduling, innovation, hungary"
Robert Chang,robert.chang@pharmlog.hk,11 years,Hong Kong,Pharmaceutical Distribution Compliance,Professional in PharmaOps | Passionate about innovation | Open for collaboration,Compliance monitoring across cold-chain pharma warehouses.,"pharma logistics, health, compliance",Raised FDA compliance score by 90%.,Growth,"Warehouse Tech, SOP Automation, Pharma QA","pharma compliance, innovation, hong kong"
Sofia Almeida,sofia.almeida@ecoresort.pt,8 years,Portugal,Eco-Tourism Property Management,Professional in Hospitality | Passionate about innovation | Open for collaboration,Tech tools to manage eco-resorts in nature-heavy zones.,"climate, tourism, wellness",Achieved 95% off-grid self-sufficiency.,Growth,"Off-grid Ops, Booking UX, Energy Monitoring","eco resorts, innovation, portugal"
Jason Wu,jason.wu@cloudaudit.tw,10 years,Taiwan,Enterprise IT Audit Automation,Professional in EnterpriseTech | Passionate about innovation | Open for collaboration,Streamlining internal IT compliance workflows.,"risk, compliance, enterprise SaaS",Saved avg. 80 man-hours per audit.,Scaling,"SOC 2 Tools, Risk Frameworks, Dashboard UX","audit automation, innovation, taiwan"
Layla Al-Tamimi,layla.tamimi@carefleet.ae,9 years,UAE,Healthcare Transportation Logistics,Professional in Health Transport | Passionate about innovation | Open for collaboration,"Coordinating safe, on-time non-emergency patient transport.","mobility, hospitals, UX",Enabled 20K+ rides/month in Abu Dhabi.,Scaling,"Fleet Management, Routing, Healthcare UX","patient transport, innovation, uae"
Mihai Ionescu,mihai.ionescu@buildverify.ro,10 years,Romania,Construction Permit Digitization,Professional in CivicTech | Passionate about innovation | Open for collaboration,Helping cities issue and track building permits digitally.,"permits, real estate, local gov",Issued 50K+ permits in 2023.,Growth,"GovTech, Forms, Legal UX","build permits, innovation, romania"
Tanvi Kapoor,tanvi.kapoor@edskills.in,8 years,India,Upskilling Platform for Blue-Collar Jobs,Professional in EdJobs | Passionate about innovation | Open for collaboration,"Training workers in plumbing, electrical, and repair jobs.","trades, skills, career growth",Placed 15K+ graduates in jobs.,Scaling,"LMS, Mobile UX, Local Language UX","vocational edtech, innovation, india"
Max Berger,max.berger@hydropower.ch,11 years,Switzerland,Hydro Energy Site Efficiency Tools,Professional in Clean Energy | Passionate about innovation | Open for collaboration,Monitoring real-time water use and turbine performance.,"hydropower, efficiency, sustainability",Improved output by 20% across 8 plants.,Growth,"Renewable Ops, Sensors, Utility Data","hydro optimization, innovation, switzerland"
Laila Hassan,laila.hassan@banksecure.eg,9 years,Egypt,Banking Identity Fraud Detection,Professional in FinSecurity | Passionate about innovation | Open for collaboration,Flagging identity theft and suspicious financial behavior.,"fraud, finance, compliance",Reduced ID fraud by 95%.,Scaling,"KYC, Fraud Modeling, ML","fraud detection, innovation, egypt"
Arjun Sen,arjun.sen@tradelens.in,10 years,India,B2B Trade Finance & Invoicing SaaS,Professional in FinTech | Passionate about innovation | Open for collaboration,Simplifying cross-border invoice financing.,"import/export, lending, automation",Enabled $150M+ in funded trade flows.,Growth,"FinOps, Invoice Automation, Platform UX","trade finance saas, innovation, india"
Laura Kim,laura.kim@aerosync.kr,10 years,South Korea,Aerospace Component Testing,Professional in AeroTech | Passionate about innovation | Open for collaboration,Automating aerospace component fatigue testing for major OEMs.,"precision, testing, safety",Cut test cycle times by 45%.,Growth,"Materials Science, Aerospace QA, Robotics","aerospace testing, innovation, korea"
Jacob Carter,jacob.carter@fleetopt.us,9 years,USA,Logistics Fleet Optimization,Professional in FleetOps | Passionate about innovation | Open for collaboration,Managing fuel-efficient route planning for delivery fleets.,"logistics, AI, vehicles",Saved $20M in fuel costs for clients.,Scaling,"Route Planning, Fleet Analytics, Telematics","fleet management, innovation, usa"
Isabella Romano,isabella.r@autolab.it,11 years,Italy,Automotive Quality Inspection,Professional in AutoTech | Passionate about innovation | Open for collaboration,Streamlining car part quality checks using ML + vision.,"cars, AI, robotics",Decreased defect rates by 38%.,Scaling,"ML, Vision, Manufacturing Ops","auto qc, innovation, italy"
Blessing Adebayo,blessing.adebayo@agrismart.ng,8 years,Nigeria,Precision Agriculture,Professional in AgriTech | Passionate about innovation | Open for collaboration,Sensor-driven soil & crop monitoring for smallholder farmers.,"farming, sustainability",Increased yield by 30% across 1K+ farms.,Growth,"IoT, Crop Analysis, Climate Data","precision farming, innovation, nigeria"
Connor Hughes,connor.hughes@policywise.co.uk,10 years,UK,Insurance Policy Recommendation Engine,Professional in InsurTech | Passionate about innovation | Open for collaboration,Helping users compare and choose insurance via ML-backed UX.,"finance, comparison, AI",1M+ personalized policies issued.,Scaling,"Recommendation Engines, UX, Regulation","insurance engine, innovation, uk"
Tara El-Gohary,tara.elgohary@smartsew.eg,9 years,Egypt,Textile Manufacturing Automation,Professional in Smart Manufacturing | Passionate about innovation | Open for collaboration,Automating stitching pattern switching for industrial sewing machines.,"garments, automation",Reduced manual workload by 70%.,Growth,"Industrial Automation, UI, Garment Ops","fashion automation, innovation, egypt"
Lucas Meier,lucas.meier@bookwise.ch,8 years,Switzerland,Publishing Rights Management,Professional in PubTech | Passionate about innovation | Open for collaboration,Licensing and royalty calculation tools for publishing houses.,"books, rights, music",Managed $25M+ in annual royalties.,Scaling,"Licensing APIs, Media UX, Finance Tools","publishing rights, innovation, switzerland"
Ayaka Sato,ayaka.sato@wearsense.jp,7 years,Japan,Smart Wearables in Fashion,Professional in FashionTech | Passionate about innovation | Open for collaboration,Creating health-tracking fashion items integrated with daily wear.,"fashion, wellness, smart tech",Launched 10+ product lines globally.,Scaling,"Textile Sensors, Wearables, Product Design","smart fashion, innovation, japan"
Alejandro Rojas,alejandro.rojas@fruithub.mx,9 years,Mexico,Cold Chain Logistics for Produce,Professional in AgriLogistics | Passionate about innovation | Open for collaboration,IoT-powered freshness tracking for fruit exports.,"food, trade, climate",Reduced spoilage by 50% in exports.,Growth,"IoT Sensors, Logistics, Cold Chain","agri logistics, innovation, mexico"
